Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
117,"(404, 1107)","(500, 1193)","(452.0, 1107)","(452.0, 1193)","(404, 1150.0)","(500, 1150.0)","[85.90838143045183, 126]","[-1, 0]","[85.90838143045183, 126]","[85.90838143045183, 126]"
118,"(522, 1111)","(587, 1193)","(554.5, 1111)","(554.5, 1193)","(522, 1152.0)","(587, 1152.0)","[81.04319835741924, 127]","[81.04319835741924, 127]","[81.04319835741924, 127]","[81.04319835741924, 127]"
119,"(607, 1111)","(718, 1193)","(662.5, 1111)","(662.5, 1193)","(607, 1152.0)","(718, 1152.0)","[87.07037383634, 128]","[95.29559276272958, 111]","[87.07037383634, 128]","[87.07037383634, 128]"
120,"(737, 1118)","(887, 1193)","(812.0, 1118)","(812.0, 1193)","(737, 1155.5)","(887, 1155.5)","[81.7572626743337, 130]","[92.91393867445294, 113]","[81.7572626743337, 130]","[81.7572626743337, 130]"
121,"(914, 1121)","(996, 1193)","(955.0, 1121)","(955.0, 1193)","(914, 1157.0)","(996, 1157.0)","[85.52485018987171, 131]","[86.81157756889343, 114]","[85.52485018987171, 131]","[85.52485018987171, 131]"
122,"(1025, 1121)","(1080, 1186)","(1052.5, 1121)","(1052.5, 1186)","(1025, 1153.5)","(1080, 1153.5)","[97.56280028781461, 122]","[87.65414993027997, 115]","[87.65414993027997, 115]","[87.65414993027997, 115]"
123,"(1105, 1114)","(1201, 1196)","(1153.0, 1114)","(1153.0, 1196)","(1105, 1155.0)","(1201, 1155.0)","[100.51119340650573, 123]","[88.32326986700618, 116]","[88.32326986700618, 116]","[88.32326986700618, 116]"
124,"(312, 1193)","(430, 1261)","(371.0, 1193)","(371.0, 1261)","(312, 1227.0)","(430, 1227.0)","[111.05516647144337, 126]","[82.23442101699264, 117]","[82.23442101699264, 117]","[82.23442101699264, 117]"
125,"(440, 1196)","(524, 1265)","(482.0, 1196)","(482.0, 1265)","(440, 1230.5)","(524, 1230.5)","[94.50132274206535, 127]","[85.90838143045183, 118]","[85.90838143045183, 118]","[85.90838143045183, 118]"
126,"(532, 1189)","(621, 1271)","(576.5, 1189)","(576.5, 1271)","(532, 1230.0)","(621, 1230.0)","[81.04319835741924, 119]","[81.04319835741924, 119]","[81.04319835741924, 119]","[81.04319835741924, 119]"
127,"(631, 1210)","(701, 1268)","(666.0, 1210)","(666.0, 1268)","(631, 1239.0)","(701, 1239.0)","[69.79434074479104, 129]","[69.79434074479104, 129]","[69.79434074479104, 129]","[87.07037383634, 120]"
128,"(713, 1196)","(757, 1261)","(735.0, 1196)","(735.0, 1261)","(713, 1228.5)","(757, 1228.5)","[69.79434074479104, 128]","[69.79434074479104, 128]","[101.62307808760764, 130]","[69.79434074479104, 128]"
129,"(764, 1196)","(909, 1271)","(836.5, 1196)","(836.5, 1271)","(764, 1233.5)","(909, 1233.5)","[-1, 0]","[81.7572626743337, 121]","[81.7572626743337, 121]","[81.7572626743337, 121]"
130,"(918, 1203)","(955, 1278)","(936.5, 1203)","(936.5, 1278)","(918, 1240.5)","(955, 1240.5)","[-1, 0]","[85.52485018987171, 122]","[85.52485018987171, 122]","[85.52485018987171, 122]"
131,"(1494, 889)","(1622, 964)","(1558.0, 889)","(1558.0, 964)","(1494, 926.5)","(1622, 926.5)","[68.41235268575406, 140]","[-1, 0]","[68.41235268575406, 140]","[68.41235268575406, 140]"
132,"(1641, 889)","(1716, 957)","(1678.5, 889)","(1678.5, 957)","(1641, 923.0)","(1716, 923.0)","[85.16014325962585, 141]","[104.01081674518281, 134]","[85.16014325962585, 141]","[85.16014325962585, 141]"
133,"(1738, 889)","(1827, 954)","(1782.5, 889)","(1782.5, 954)","(1738, 921.5)","(1827, 921.5)","[87.5, 135]","[87.5, 135]","[87.5, 135]","[90.51243008559653, 141]"
134,"(1847, 889)","(1893, 954)","(1870.0, 889)","(1870.0, 954)","(1847, 921.5)","(1893, 921.5)","[87.5, 134]","[87.5, 134]","[97.7164264594239, 136]","[87.5, 134]"
135,"(1914, 902)","(2021, 954)","(1967.5, 902)","(1967.5, 954)","(1914, 928.0)","(2021, 928.0)","[71.50174823037545, 142]","[97.7164264594239, 135]","[71.50174823037545, 142]","[71.50174823037545, 142]"
136,"(2045, 889)","(2209, 954)","(2127.0, 889)","(2127.0, 954)","(2045, 921.5)","(2209, 921.5)","[91.71968163922071, 143]","[-1, 0]","[91.71968163922071, 143]","[91.71968163922071, 143]"
137,"(2231, 889)","(2282, 950)","(2256.5, 889)","(2256.5, 950)","(2231, 919.5)","(2282, 919.5)","[91.54916711800277, 144]","[-1, 0]","[91.54916711800277, 144]","[91.54916711800277, 144]"
138,"(1397, 967)","(1496, 1022)","(1446.5, 967)","(1446.5, 1022)","(1397, 994.5)","(1496, 994.5)","[84.00148808205721, 145]","[104.0, 140]","[84.00148808205721, 145]","[84.00148808205721, 145]"
139,"(1528, 964)","(1573, 1025)","(1550.5, 964)","(1550.5, 1025)","(1528, 994.5)","(1573, 994.5)","[93.30058949438637, 147]","[68.41235268575406, 132]","[68.41235268575406, 132]","[68.41235268575406, 132]"
140,"(1607, 967)","(1847, 1019)","(1727.0, 967)","(1727.0, 1019)","(1607, 993.0)","(1847, 993.0)","[97.37171047075223, 149]","[85.16014325962585, 133]","[85.16014325962585, 133]","[85.16014325962585, 133]"
141,"(1883, 971)","(2011, 1022)","(1947.0, 971)","(1947.0, 1022)","(1883, 996.5)","(2011, 996.5)","[87.82368700982668, 151]","[71.50174823037545, 136]","[71.50174823037545, 136]","[71.50174823037545, 136]"
142,"(2042, 967)","(2105, 1025)","(2073.5, 967)","(2073.5, 1025)","(2042, 996.0)","(2105, 996.0)","[-1, 0]","[91.71968163922071, 137]","[91.71968163922071, 137]","[91.71968163922071, 137]"
143,"(2134, 964)","(2274, 1025)","(2204.0, 964)","(2204.0, 1025)","(2134, 994.5)","(2274, 994.5)","[83.5134719671024, 196]","[91.54916711800277, 138]","[83.5134719671024, 196]","[83.5134719671024, 196]"
144,"(1392, 1046)","(1453, 1104)","(1422.5, 1046)","(1422.5, 1104)","(1392, 1075.0)","(1453, 1075.0)","[61.702917273010684, 146]","[61.702917273010684, 146]","[61.702917273010684, 146]","[84.00148808205721, 139]"
145,"(1457, 1042)","(1511, 1118)","(1484.0, 1042)","(1484.0, 1118)","(1457, 1080.0)","(1511, 1080.0)","[61.702917273010684, 145]","[61.702917273010684, 145]","[-1, 0]","[61.702917273010684, 145]"
146,"(1523, 1049)","(1634, 1118)","(1578.5, 1049)","(1578.5, 1118)","(1523, 1083.5)","(1634, 1083.5)","[81.34648117773749, 154]","[83.02409288875127, 148]","[81.34648117773749, 154]","[81.34648117773749, 154]"
147,"(1641, 1042)","(1682, 1121)","(1661.5, 1042)","(1661.5, 1121)","(1641, 1081.5)","(1682, 1081.5)","[83.02409288875127, 147]","[83.02409288875127, 147]","[92.63503656824453, 154]","[83.02409288875127, 147]"
148,"(1694, 1063)","(1839, 1101)","(1766.5, 1063)","(1766.5, 1101)","(1694, 1082.0)","(1839, 1082.0)","[84.21698166047035, 156]","[97.37171047075223, 141]","[84.21698166047035, 156]","[84.21698166047035, 156]"
149,"(1851, 1046)","(1931, 1118)","(1891.0, 1046)","(1891.0, 1118)","(1851, 1082.0)","(1931, 1082.0)","[68.01654210557899, 151]","[68.01654210557899, 151]","[68.01654210557899, 151]","[-1, 0]"
150,"(1938, 1042)","(1980, 1125)","(1959.0, 1042)","(1959.0, 1125)","(1938, 1083.5)","(1980, 1083.5)","[68.01654210557899, 150]","[68.01654210557899, 150]","[-1, 0]","[68.01654210557899, 150]"
151,"(1395, 1142)","(1465, 1183)","(1430.0, 1142)","(1430.0, 1183)","(1395, 1162.5)","(1465, 1162.5)","[86.28441342444185, 162]","[-1, 0]","[86.28441342444185, 162]","[86.28441342444185, 162]"
152,"(1482, 1138)","(1557, 1193)","(1519.5, 1138)","(1519.5, 1193)","(1482, 1165.5)","(1557, 1165.5)","[82.41510783830839, 162]","[89.55026521457097, 152]","[82.41510783830839, 162]","[82.41510783830839, 162]"
153,"(1569, 1131)","(1651, 1186)","(1610.0, 1131)","(1610.0, 1186)","(1569, 1158.5)","(1651, 1158.5)","[-1, 0]","[81.34648117773749, 147]","[81.34648117773749, 147]","[81.34648117773749, 147]"
154,"(1663, 1135)","(1747, 1203)","(1705.0, 1135)","(1705.0, 1203)","(1663, 1169.0)","(1747, 1169.0)","[66.82252614201292, 163]","[-1, 0]","[66.82252614201292, 163]","[66.82252614201292, 163]"
155,"(1760, 1135)","(1834, 1186)","(1797.0, 1135)","(1797.0, 1186)","(1760, 1160.5)","(1834, 1160.5)","[-1, 0]","[-1, 0]","[-1, 0]","[84.21698166047035, 149]"
156,"(1847, 1128)","(1912, 1183)","(1879.5, 1128)","(1879.5, 1183)","(1847, 1155.5)","(1912, 1155.5)","[73.83258088405145, 158]","[73.83258088405145, 158]","[73.83258088405145, 158]","[-1, 0]"
157,"(1926, 1125)","(1980, 1200)","(1953.0, 1125)","(1953.0, 1200)","(1926, 1162.5)","(1980, 1162.5)","[72.70832139445939, 159]","[72.70832139445939, 159]","[72.70832139445939, 159]","[72.76331493273241, 165]"
158,"(1992, 1125)","(2059, 1189)","(2025.5, 1125)","(2025.5, 1189)","(1992, 1157.0)","(2059, 1157.0)","[64.0956316764255, 160]","[64.0956316764255, 160]","[64.0956316764255, 160]","[72.70832139445939, 158]"
159,"(2069, 1121)","(2110, 1200)","(2089.5, 1121)","(2089.5, 1200)","(2069, 1160.5)","(2110, 1160.5)","[64.0956316764255, 159]","[64.0956316764255, 159]","[82.06399941509066, 166]","[64.0956316764255, 159]"
160,"(2141, 1128)","(2279, 1179)","(2210.0, 1128)","(2210.0, 1179)","(2141, 1153.5)","(2279, 1153.5)","[-1, 0]","[87.58139071743494, 196]","[-1, 0]","[-1, 0]"
161,"(1395, 1203)","(1557, 1268)","(1476.0, 1203)","(1476.0, 1268)","(1395, 1235.5)","(1557, 1235.5)","[86.08426104695329, 169]","[82.41510783830839, 153]","[82.41510783830839, 153]","[82.41510783830839, 153]"
